dimension,cohort,strategy_name,strategy_version,status,promotion_status,promotion_reason,execution_basis,probability_scored_events,probability_scored_markets,independent_city_date_clusters,eligible_signals,directional_signal_wins,directional_signal_losses,directional_signal_voids,directional_win_rate,directional_win_rate_ci_low,directional_win_rate_ci_high,no_trade_events,submitted_paper_orders,filled_paper_orders,settled_trades,wins,losses,voids,win_rate,win_rate_ci_low,win_rate_ci_high,brier_score,market_brier_score,model_event_count,market_event_count,common_event_count,excluded_model_events,excluded_market_events,exclusion_reasons,model_brier_score,calibration_gap,log_loss,gross_pnl,fees,net_pnl,profit_factor,expectancy,maximum_drawdown,training_period,validation_period,holdout_result,model_weight,market_weight,edge_threshold
city,Atlanta,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.13152142073567447,0.11621666666666668,12,12,12,0,0,none,0.13152142073567447,0.08861292418797775,0.38993671650702433,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Austin,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,0,2,0,0.0,0.0,0.6576280471103807,0,0,0,0,0,0,0,,,,0.11985825763571613,0.07640416666666668,12,12,12,0,0,none,0.11985825763571613,0.16841120478146993,0.3703240394960391,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Boston,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,0,2,0,0.0,0.0,0.6576280471103807,0,0,0,0,0,0,0,,,,0.07481198073258126,0.06509583333333334,12,12,12,0,0,none,0.07481198073258126,0.0954666452369598,0.24804324073611558,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Chicago,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.1497104242495463,0.13353958333333335,12,12,12,0,0,none,0.1497104242495463,0.17057830494315676,0.5511443114040587,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Dallas,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.149506320085359,0.1376875,12,12,12,0,0,none,0.149506320085359,0.21922269856013382,0.42731860611709943,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Denver,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.11139767958394009,0.1358625,12,12,12,0,0,none,0.11139767958394009,0.0802640300515172,0.3373126496013666,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Houston,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,1,0,1,0,0.0,0.0,0.7934567085261071,1,0,0,0,0,0,0,,,,0.08108533483226726,0.05943958333333333,12,12,12,0,0,none,0.08108533483226726,0.09415916660438363,0.26022352062100085,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Las Vegas,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,0,0,0,0,0,0,0,,,,0.07516031357056811,0.05148958333333333,12,12,12,0,0,none,0.07516031357056811,0.17743175821031795,0.2350344294746334,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Los Angeles,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,2,0,0,1.0,0.34237195288961925,1.0,0,0,0,0,0,0,0,,,,0.006613517637332512,0.09148333333333335,12,12,12,0,0,none,0.006613517637332512,0.050649418913468254,0.05430420291110246,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
city,Miami,current_observation_conditioned,research-current-v1,EXPLORATORY,REJECTED,No executable point-in-time bid/ask or depth data; forecast-skill evidence only.,FORECAST_SKILL_ONLY,12,12,2,2,0,2,0,0.0,0.0,0.6576280471103807,0,0,0,0,0,0,0,,,,0.07300274198488407,0.08737083333333333,12,12,12,0,0,none,0.07300274198488407,0.18141323472417317,0.2366220456957157,,,,,,,2026-07-20..2026-07-20,2026-07-21..2026-07-21,,,,0.05
