dimension,cohort,sample_size,mean_error,median_error,mae,rmse,standard_deviation,q10,q25,q75,q90,skew
all,all,99,0.023809523809541218,-0.00840336134450581,1.5480774127832768,2.0788401596875903,2.0892825203748067,-2.714285714285725,-0.9957983193277542,1.2340336134453551,2.6220168067226837,-0.4736491606343728
city,Atlanta,6,0.9389355742297146,0.5315126050420531,0.9602240896358509,1.4962752992690158,1.2762004977189905,-0.031932773109204504,0.017016806722722322,1.2804621848739721,2.317226890756295,0.8018592411318057
city,Austin,6,-0.31862745098034634,-0.5546218487393446,1.2376750700279497,1.4564883480580995,1.5568563924180465,-1.7798319327730994,-0.8016806722689225,0.8250000000000561,1.378571428571405,-0.19378556773321998
city,Boston,3,0.24033613445379842,-0.755462184873906,1.3865546218487357,1.5763883143737634,1.9081032441288235,-0.9221848739495812,-0.859663865546203,0.8424369747899476,1.8011764705882598,0.3797411742699534
city,Chicago,4,0.025210084033599145,1.2798319327730994,2.0151260504201467,2.3146490990958877,2.6725680293451646,-2.411260504201675,-0.0584033613445456,1.3634453781512441,1.4579831932772735,-0.7456935434370552
city,Dallas,6,-0.21708683473372994,-0.01050420168049726,1.015406162464899,1.4672440567433878,1.5895955818637961,-1.838235294117446,-0.9203781512602482,0.05420168067237796,1.1974789915967534,0.17352199244052235
city,Denver,6,-1.235994397759119,-1.2109243697479002,1.9659663865546169,2.447007528435512,2.313481452597746,-3.570588235294153,-3.201470588235331,-0.04537815126047562,1.0735294117646959,0.22267924970840364
city,Houston,6,0.5866946778712006,0.5764705882353027,0.5866946778712006,0.6938424824739557,0.40576852333796887,0.145798319327902,0.33550420168092643,0.9157563025210003,1.037815126050397,-0.055053404119517944
city,Las Vegas,4,1.5792016806722522,1.3949579831930023,1.6699579831932532,2.271017420826538,1.8845484613772625,-0.07310924369750181,0.08949579831924837,2.884663865546006,3.378907563025406,0.09523212234441947
city,Los Angeles,3,-3.3288515406162653,-1.8495798319328003,3.3288515406162653,3.9973939324935324,2.710508902053124,-5.535630252100878,-4.153361344537849,-1.7647058823529491,-1.7137815126050384,-0.38320259937308265
